cumulative_distance,route,average_ttime,scenario_name,year,year_scenario,vehicle_type,hour
0,Blockhouse Bay Rd NB,0.0,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
26.69,Blockhouse Bay Rd NB,0.03905853658536585,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
41.35,Blockhouse Bay Rd NB,0.059049445676274945,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
63.74,Blockhouse Bay Rd NB,0.08890277900960827,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
112.38,Blockhouse Bay Rd NB,0.15099639603088486,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
144.26,Blockhouse Bay Rd NB,0.19084639603088488,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
163.12,Blockhouse Bay Rd NB,0.21442139603088486,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
228.65,Blockhouse Bay Rd NB,0.29807671517982104,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
268.73,Blockhouse Bay Rd NB,0.3503549760493863,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
323.86,Blockhouse Bay Rd NB,0.425532248776659,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
344.24,Blockhouse Bay Rd NB,0.4546465344909448,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
358.13,Blockhouse Bay Rd NB,0.47548153449094477,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
403.48,Blockhouse Bay Rd NB,0.5555109462556506,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
429.01,Blockhouse Bay Rd NB,0.6065709462556507,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
436.91,Blockhouse Bay Rd NB,0.6209345826192869,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
469.85,Blockhouse Bay Rd NB,0.6774031540478584,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
507.39,Blockhouse Bay Rd NB,0.7366768382583847,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
529.19,Blockhouse Bay Rd NB,0.7685792772827751,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
549.57,Blockhouse Bay Rd NB,0.7970164865851006,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
593.78,Blockhouse Bay Rd NB,0.8559631532517672,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
